Handle,Title,"Body (HTML)",Vendor,"Product Category",Type,Tags,Published,"Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Dimension (product.metafields.custom.dimension)","Finish (product.metafields.custom.finish)","Material (product.metafields.custom.material)","Google: Custom Product (product.metafields.mm-google-shopping.custom_product)","Artwork frame material (product.metafields.shopify.artwork-frame-material)","Backrest type (product.metafields.shopify.backrest-type)","Bulb cap type (product.metafields.shopify.bulb-cap-type)","Color (product.metafields.shopify.color-pattern)","Decoration material (product.metafields.shopify.decoration-material)","Frame style (product.metafields.shopify.frame-style)","Furniture/Fixture features (product.metafields.shopify.furniture-fixture-features)","Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material)","Light temperature (product.metafields.shopify.light-temperature)","Material (product.metafields.shopify.material)","Mounting type (product.metafields.shopify.mounting-type)","Seat type (product.metafields.shopify.seat-type)","Shape (product.metafields.shopify.shape)","Style (product.metafields.shopify.style)","Theme (product.metafields.shopify.theme)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Status
balancing-act-table-lamp-iii,"Balancing Act Table Lamp III","<p><meta charset=""utf-8"">Minimalist design meets natural artistry. The Balancing Act Table Lamp III features three carefully balanced elements: warm terracotta base, angular charcoal stone, and glowing frosted orb. This handcrafted accent light transforms everyday illumination into a meditative focal point. Each unique stone arrangement creates dramatic shadows and visual interest. Perfect for modern bedside tables, office desks, or living room accent lighting.</p>",leidenschaft.in,"Home & Garden > Lighting > Lamps > Table Lamps",,"Echoes of the earth",true,Title,"Default Title",,,,,,,,"LD-TL-BA 3",1500.0,shopify,100,deny,manual,10000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/42.png?v=1757235845,1,,false,,,,,,,,,,,,,,"L 4.5"" W 4"" H 8""","Texture Rock Finish ","Engineered Concrete | Metal ",,,,,"red; brown; white; gray; geometric",,,,,cool-white,,,,,,,,kg,,,active
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/28.png?v=1757235845,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/46.png?v=1757235844,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/79.png?v=1757235844,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/93.png?v=1757235844,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/102.png?v=1757235844,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/137.png?v=1757235844,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/141.png?v=1757235844,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/152.png?v=1757235844,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/198.png?v=1757235844,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/214.png?v=1757235844,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-ii,"Balancing Act Table Lamp II","<p><meta charset=""utf-8"">Artful balance illuminated. The Balancing Act Table Lamp II showcases a carefully composed tower of natural elements, smooth terracotta base supporting angular charcoal stones, topped with a glowing orb. Each handpicked stone creates dynamic shadows and textures when lit, turning functional lighting into meditative sculpture. This unique piece brings warmth and artistic sophistication to bedside tables, desks, or accent spaces.</p>",leidenschaft.in,"Home & Garden > Lighting > Lamps > Table Lamps",,"Echoes of the earth",true,Title,"Default Title",,,,,,,,LD-TL-BA2,1900.0,shopify,100,deny,manual,10500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/43.png?v=1757235686,1,,false,,,,,,,,,,,,,,"L 7"" W 4.6"" H 6.9""",,"Engineered Concrete | Metal  ",,,,,,,,,,,,,,,,,,kg,,,active
balancing-act-table-lamp-ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/62.png?v=1757235686,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/186.png?v=1757235686,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-i,"Balancing Act  Table Lamp I","<p><meta charset=""utf-8"">Playful equilibrium meets ambient glow. The Balancing Act Table Lamp I features a striking stack of natural stones crowned with a warm sphere of light. A terracotta base anchors charcoal slate pieces that appear delicately balanced, creating visual tension and artistic intrigue. This functional sculpture transforms lighting into conversation piece, perfect for modern interiors seeking organic texture and warm illumination.</p>",leidenschaft.in,"Home & Garden > Lighting > Lamps > Table Lamps",,"Echoes of the earth",true,Title,"Default Title",,,,,,,,LD-TL-BA1,1650.0,shopify,98,deny,manual,10500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/21.png?v=1757235520,1,,false,,,,,,,,,,,,,,"L 7"" W 4"" H 8.4""","Texture Rock Finish","Engineered Concrete |  Metal ",,,,,"geometric; white",,,,,,,,,,,,,kg,,,active
balancing-act-table-lamp-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/72.png?v=1757235520,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/97.png?v=1757235520,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/126.png?v=1757235519,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/133.png?v=1757235519,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/220.png?v=1757235519,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-table-lamp-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/227.png?v=1757235520,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow,Flow,"<p><span>The Flow table is a beautifully curved coffee table that brings a sense of movement to your living space. The debossed prints on the muted grey concrete surface create a tactile experience, inviting touch and interaction. The unique design of Flow Table, with its wave-like curvature and dynamic prints, adds a touch of elegance and fluidity to any room. It’s more than just a coffee table; it’s a statement piece thatcombines form, function, and sensory delight.</span></p>",leidenschaft.in,"Furniture > Tables > Accent Tables > Coffee Tables",Tables,"Essentials, Tables",true,Title,"Default Title",,,,,,,,LD-CT-006,42800.0,shopify,100,deny,manual,43000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/66b9f5e112c9568d302f2cf1_23_1.jpg?v=1757233724,1,,false,,,,,,,,,,,,,,"H: 20 in | W: 24 in | L: 38 in","Engineered Concrete","Engineered Concrete | Engineered Wood | Metal | Led Light ",,,,,,,,,,,,,,,,,,kg,,,active
flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/66b9f5e7adf2885f2abf349a_22.jpg?v=1757233724,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/66b9f5e112c9568d302f2cf1_23.jpg?v=1757233724,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nimbus,"Nimbus Side Tables","<p><meta charset=""utf-8"">Ethereal design rooted in nature. The Nimbus tables feature cylindrical wooden vessels cradled by three tall legs, creating an architectural interplay of curves and lines. The engineered wood showcases a sophisticated grey gradient finish, from pale ash tones to deep charcoal, with subtle wood grain patterns adding organic texture. These sculptural side tables appear to float, bringing both function and artistic presence to contemporary interiors. </p>",leidenschaft.in,"Furniture > Tables > Accent Tables > End Tables",Tables,"Malleka 2024 I, Tables",true,Title,"Default Title",,,,,,,,LD-ST-032,30000.0,shopify,99,deny,manual,25000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/122.jpg?v=1757233670,1,,false,,,,,,,,,,,,,,"(L) D | 9.5 IN H | 22 IN | (S) D | 9.5 IN H | 18 IN","Engineered Concrete Finish","Engineered Concrete | Engineered Wood | Metal ",,,,,,,,,,,,,,,,,,kg,,,active
fluted-drum,"Fluted Drum","<p><span>The Fluted Drum side tables are elegantly shaped like drums or pillars, adorned with striped fluted graphics all around. These simple yet striking tables bring rhythm and texture to your living space, adding a touch of graphic sophistication. The fluted design not only enhances visual interest but also creates a tactile experience. FluteDrum side tables are perfect for those who appreciate clean lines and contemporary design with a playfultwist, making them versatile additions to any modern interior.</span></p>",leidenschaft.in,"Furniture > Tables > Accent Tables > End Tables",Tables,"Essentials, Tables",true,Title,"Default Title",,,,,,,,LD-ST-021,27600.0,shopify,100,deny,manual,15000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/66bc58698893755197136a0c_101.jpg?v=1757233583,1,,false,,,,,,,,,,,,,,"H: 22.6 in (B), 18.6 IN (S)| Dia: 18 in","Concrete Finish","Engineered Concrete | Engineered Wood ",,,,,,,,,,,,,,,,,,kg,,,active
fluted-drum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/66bc587210fb501f29df6976_102.jpg?v=1757233583,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
